AN,CLAS,MARQ_VEH,MODEL_VEH,ANNEE_MOD,MASSE_NETTE,TYP_CARBU
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,2003.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2021.0,1685.0,Électricité
2022,Automobile ou camion léger (promenade),VOLVO,XC40,2022.0,2151.0,Électricité
2022,Automobile ou camion léger (promenade),CHEVR,BOLT,2023.0,1673.0,Électricité
2022,Automobile ou camion léger (promenade),VOLKS,ID4,2022.0,2068.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,2003.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,1640.0,Électricité
2022,Cyclomoteur (promenade),,,2021.0,76.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),VOLKS,ID4,2021.0,2116.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1640.0,Électricité
2022,Automobile ou camion léger (usage commercial),TESLA,MODEL,2022.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,IONIQ,2022.0,2115.0,Électricité
2022,Automobile ou camion léger (promenade),KIA,NIRO,2022.0,1764.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,2003.0,Électricité
2022,Automobile ou camion léger (usage commercial),TESLA,MODEL,2022.0,2003.0,Électricité
2022,Automobile ou camion léger (promenade),NISSA,LEAF,2022.0,1785.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,2001.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),MINI,COOPE,2023.0,1426.0,Électricité
2022,Automobile ou camion léger (usage commercial),PORSC,TAYCA,2021.0,2465.0,Électricité
2022,Automobile ou camion léger (promenade),FORD,MUSTA,2021.0,2040.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),KIA,NIRO,2022.0,1764.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2023.0,1685.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,2009.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,2003.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1830.0,Électricité
2022,Automobile ou camion léger (promenade),FORD,MUSTA,2021.0,2195.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,2003.0,Électricité
2022,Automobile ou camion léger (promenade),CHEVR,BOLT,2022.0,1684.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1830.0,Électricité
2022,Automobile ou camion léger (promenade),VOLKS,ID4,2021.0,2116.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1836.0,Électricité
2022,Automobile ou camion léger (usage commercial),FORD,MUSTA,2021.0,2195.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2021.0,1685.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2021.0,1399.0,Électricité
2022,Automobile ou camion léger (promenade),AUDI,ETRO,2021.0,2610.0,Électricité
2022,Automobile ou camion léger (promenade),KIA,EV6,2022.0,2098.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2022.0,1685.0,Électricité
2022,Automobile ou camion léger (promenade),FORD,MUSTA,2021.0,2195.0,Électricité
2022,Automobile ou camion léger (usage commercial),TESLA,MODEL,2022.0,2003.0,Électricité
2022,Automobile ou camion léger (promenade),FORD,MUSTA,2021.0,2195.0,Électricité
2022,Automobile ou camion léger (promenade),FORD,F150,2022.0,2728.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,2003.0,Électricité
2022,Véhicule-outil (hors réseau),POLAR,RANGE,2022.0,799.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2021.0,1685.0,Électricité
2022,Automobile ou camion léger (promenade),KIA,NIRO,2021.0,1764.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,3,2023.0,1752.0,Électricité
2022,Automobile ou camion léger (promenade),CHEVR,BOLT,2022.0,1637.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,Y,2021.0,2003.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,2003.0,Électricité
2022,Automobile ou camion léger (promenade),CHEVR,BOLT,2021.0,1614.0,Électricité
2022,Automobile ou camion léger (promenade),NISSA,LEAF,2022.0,1619.0,Électricité
2022,Automobile ou camion léger (promenade),CHEVR,BOLT,2022.0,1637.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2021.0,1685.0,Électricité
2022,Automobile ou camion léger (promenade),FORD,MUSTA,2022.0,2041.0,Électricité
2022,Automobile ou camion léger (promenade),KIA,NIRO,2021.0,1764.0,Électricité
2022,Automobile ou camion léger (usage commercial),FORD,F150,2022.0,2885.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,3,2023.0,1752.0,Électricité
2022,Automobile ou camion léger (usage commercial),HYUND,KONA,2022.0,1478.0,Électricité
2022,Automobile ou camion léger (usage commercial),AUDI,ETRO,2022.0,2295.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,IONIQ,2022.0,2115.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2021.0,1685.0,Électricité
2022,Automobile ou camion léger (promenade),KIA,SOUL,2021.0,1754.0,Électricité
2022,Cyclomoteur (promenade),TAOTA,LEO,2022.0,120.0,Électricité
2022,Automobile ou camion léger (promenade),KIA,EV6,2022.0,2098.0,Électricité
2022,Automobile ou camion léger (usage commercial),MAZDA,MX30,2022.0,1660.0,Électricité
2022,Automobile ou camion léger (promenade),BMW,IX,2023.0,2567.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1752.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1640.0,Électricité
2022,Automobile ou camion léger (usage commercial),HYUND,IONIQ,2023.0,1560.0,Électricité
2022,Automobile ou camion léger (usage commercial),TESLA,MODEL,2022.0,1979.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,3,2023.0,1752.0,Électricité
2022,Automobile ou camion léger (promenade),POLES,2,2022.0,2173.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),VOLKS,ID4,2021.0,2116.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2022.0,1740.0,Électricité
2022,Automobile ou camion léger (promenade),NISSA,LEAF,2022.0,1780.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2022.0,1740.0,Électricité
2022,Automobile ou camion léger (promenade),POLES,2,2022.0,2012.0,Électricité
2022,Automobile ou camion léger (promenade),VOLVO,XC40,2022.0,2150.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),FORD,MUSTA,2021.0,2195.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2022.0,1740.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2021.0,1685.0,Électricité
2022,Automobile ou camion léger (usage commercial),TESLA,MODEL,2022.0,2003.0,Électricité
2022,Automobile ou camion léger (promenade),FORD,MUSTA,2021.0,2195.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2022.0,1685.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,2009.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,1645.0,Électricité
2022,Automobile ou camion léger (promenade),KIA,NIRO,2022.0,1788.0,Électricité
2022,Automobile ou camion léger (promenade),AUDI,Q4ETR,2022.0,1798.0,Électricité
2022,Automobile ou camion léger (promenade),CHEVR,BOLT,2022.0,1684.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,2003.0,Électricité
2022,Automobile ou camion léger (promenade),MINI,COOPE,2023.0,1426.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2022.0,1685.0,Électricité
2022,Automobile ou camion léger (usage commercial),TESLA,MODEL,2022.0,2003.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1830.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,IONIQ,2021.0,1030.0,Électricité
2022,Automobile ou camion léger (usage commercial),TESLA,MODEL,2021.0,1842.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,3,2023.0,1752.0,Électricité
2022,Automobile ou camion léger (promenade),CHEVR,BOLT,2021.0,1618.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,3,2023.0,1752.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2022.0,1740.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,IONIQ,2022.0,2115.0,Électricité
2022,Automobile ou camion léger (promenade),CHEVR,BOLT,2022.0,1707.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,2003.0,Électricité
2022,Automobile ou camion léger (promenade),MAZDA,MX30,2022.0,1660.0,Électricité
2022,Automobile ou camion léger (promenade),CHEVR,BOLT,2022.0,1707.0,Électricité
2022,Automobile ou camion léger (promenade),KIA,SOUL,2022.0,1612.0,Électricité
2022,Automobile ou camion léger (promenade),VOLKS,ID4,2021.0,2116.0,Électricité
2022,Automobile ou camion léger (usage commercial),FORD,TRANS,2022.0,2881.0,Électricité
2022,Automobile ou camion léger (usage commercial),FORD,MUSTA,2022.0,2087.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1640.0,Électricité
2022,Automobile ou camion léger (usage commercial),TESLA,MODEL,2021.0,1645.0,Électricité
2022,Automobile ou camion léger (usage commercial),POLES,2,2022.0,2109.0,Électricité
2022,Automobile ou camion léger (promenade),FORD,MUSTA,2021.0,2195.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),POLES,2,2022.0,2109.0,Électricité
2022,Automobile ou camion léger (promenade),KIA,NIRO,2021.0,1764.0,Électricité
2022,Automobile ou camion léger (usage commercial),HYUND,KONA,2021.0,1685.0,Électricité
2022,Automobile ou camion léger (promenade),VOLVO,XC40,2022.0,2147.0,Électricité
2022,Automobile ou camion léger (usage commercial),VOLVO,XC40,2022.0,2150.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1640.0,Électricité
2022,Automobile ou camion léger (usage commercial),POLES,2,2021.0,2173.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1830.0,Électricité
2022,Automobile ou camion léger (promenade),KIA,EV6,2022.0,2098.0,Électricité
2022,Autobus scolaire,LION,LIONC,2023.0,11793.0,Électricité
2022,Automobile ou camion léger (promenade),FORD,F150,2022.0,2312.0,Électricité
2022,Automobile ou camion léger (usage commercial),SUBAR,SOLTE,2023.0,1975.0,Électricité
2022,Automobile ou camion léger (promenade),FORD,MUSTA,2021.0,2195.0,Électricité
2022,Automobile ou camion léger (promenade),CHEVR,BOLT,2022.0,1673.0,Électricité
2022,Automobile ou camion léger (promenade),FORD,MUSTA,2021.0,2195.0,Électricité
2022,Automobile ou camion léger (promenade),KIA,SOUL,2021.0,1515.0,Électricité
2022,Automobile ou camion léger (promenade),CHEVR,BOLT,2022.0,1637.0,Électricité
2022,Automobile ou camion léger (promenade),VOLKS,ID4,2022.0,2116.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,2003.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),KIA,SOUL,2021.0,1754.0,Électricité
2022,Automobile ou camion léger (usage commercial),CHEVR,BOLT,2022.0,1637.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,S,2021.0,2069.0,Électricité
2022,Automobile ou camion léger (promenade),POLES,2,2022.0,2109.0,Électricité
2022,Automobile ou camion léger (promenade),NISSA,LEAF,2023.0,1773.0,Électricité
2022,Automobile ou camion léger (usage commercial),HYUND,KONA,2022.0,1740.0,Électricité
2022,Automobile ou camion léger (usage commercial),VOLKS,ID4,2022.0,2630.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,2003.0,Électricité
2022,Automobile ou camion léger (promenade),FORD,MUSTA,2022.0,2041.0,Électricité
2022,Automobile ou camion léger (promenade),FORD,MUSTA,2021.0,2195.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),NISSA,LEAF,2022.0,1776.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,2003.0,Électricité
2022,Automobile ou camion léger (promenade),VOLKS,ID4,2022.0,2116.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,S,2022.0,2069.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,IONIQ,2022.0,1280.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2023.0,1685.0,Électricité
2022,Automobile ou camion léger (usage commercial),TESLA,MODEL,2023.0,1979.0,Électricité
2022,Cyclomoteur (promenade),VESPA,ELECT,2021.0,,Électricité
2022,Automobile ou camion léger (promenade),VOLKS,ID4,2022.0,2068.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,2003.0,Électricité
2022,Véhicule-outil (hors réseau),HYUND,,2022.0,5410.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,1640.0,Électricité
2022,Automobile ou camion léger (usage commercial),TESLA,MODEL,2022.0,1752.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1830.0,Électricité
2022,Automobile ou camion léger (promenade),CHEVR,BOLT,2021.0,1618.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2022.0,1685.0,Électricité
2022,Automobile ou camion léger (promenade),CHEVR,BOLT,2022.0,1673.0,Électricité
2022,Automobile ou camion léger (promenade),POLES,2,2022.0,2109.0,Électricité
2022,Automobile ou camion léger (promenade),SUBAR,SOLTE,2023.0,1975.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2023.0,1685.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2022.0,1740.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,IONIQ,2021.0,1582.0,Électricité
2022,Automobile ou camion léger (promenade),CHEVR,BOLT,2021.0,1616.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,2009.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,2009.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,1645.0,Électricité
2022,Automobile ou camion léger (usage commercial),TESLA,MODEL,2022.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2022.0,1830.0,Électricité
2022,Automobile ou camion léger (promenade),BMW,I4ED,2023.0,2116.0,Électricité
2022,Automobile ou camion léger (usage commercial),TESLA,MODEL,2022.0,1830.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2022.0,1740.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2021.0,1685.0,Électricité
2022,Automobile ou camion léger (promenade),FORD,MUSTA,2021.0,2195.0,Électricité
2022,Automobile ou camion léger (promenade),CHEVR,BOLT,2022.0,1673.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),POLES,2,2023.0,1994.0,Électricité
2022,Automobile ou camion léger (promenade),KIA,NIRO,2022.0,1764.0,Électricité
2022,Automobile ou camion léger (promenade),TESLA,MODEL,2021.0,1640.0,Électricité
2022,Automobile ou camion léger (promenade),VOLKS,ID4,2022.0,2116.0,Électricité
2022,Automobile ou camion léger (usage commercial),TESLA,X,2022.0,2462.0,Électricité
2022,Automobile ou camion léger (usage commercial),TESLA,MODEL,2022.0,2003.0,Électricité
2022,Autobus scolaire,LION,LIONC,2023.0,11793.0,Électricité
2022,Automobile ou camion léger (promenade),CHEVR,BOLT,2022.0,1715.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,IONIQ,2022.0,2115.0,Électricité
2022,Automobile ou camion léger (promenade),HYUND,KONA,2022.0,1740.0,Électricité
